"Step","[baselines]c4_realnews_bert-bottleneck_none_K=1_pretraining - SuperTransformer Perplexity","[baselines]c4_realnews_bert-bottleneck_none_K=1_pretraining - SuperTransformer Perplexity__MIN","[baselines]c4_realnews_bert-bottleneck_none_K=1_pretraining - SuperTransformer Perplexity__MAX"
"13611","4.676909213953179","4.676909213953179","4.676909213953179"
"27223","4.371685697339006","4.371685697339006","4.371685697339006"
"40835","4.293753053445957","4.293753053445957","4.293753053445957"
"54447","4.142072317184056","4.142072317184056","4.142072317184056"
"68059","4.051901404536869","4.051901404536869","4.051901404536869"
"81671","3.9368475246766748","3.9368475246766748","3.9368475246766748"
"95283","3.9585379706578974","3.9585379706578974","3.9585379706578974"
"108895","3.8487467056993436","3.8487467056993436","3.8487467056993436"
"122507","3.8106813796900627","3.8106813796900627","3.8106813796900627"
"136119","3.7795073046360175","3.7795073046360175","3.7795073046360175"
"149731","3.746515814818132","3.746515814818132","3.746515814818132"
"163343","3.716551104798303","3.716551104798303","3.716551104798303"
"176955","3.6639219872359514","3.6639219872359514","3.6639219872359514"
"190567","3.685170813575341","3.685170813575341","3.685170813575341"
"204179","3.6362456292065874","3.6362456292065874","3.6362456292065874"
"217791","3.6190238619266673","3.6190238619266673","3.6190238619266673"
"231403","3.6628612178996725","3.6628612178996725","3.6628612178996725"
"245015","3.591616007097482","3.591616007097482","3.591616007097482"
"258627","3.569486391961691","3.569486391961691","3.569486391961691"
"272239","3.535166928878331","3.535166928878331","3.535166928878331"
"285851","3.5192687154829625","3.5192687154829625","3.5192687154829625"
"299463","3.531181656040362","3.531181656040362","3.531181656040362"
"313075","3.5247201045918946","3.5247201045918946","3.5247201045918946"
"326687","3.4941176062334613","3.4941176062334613","3.4941176062334613"
"340299","3.520009682613929","3.520009682613929","3.520009682613929"
"353911","3.4341986291259237","3.4341986291259237","3.4341986291259237"
